PAJAK_LINE_ID;BULAN_PAJAK;TAHUN_PAJAK;KODE_CABANG;NAMA_WP;NPWP;ALAMAT_WP;KODE_PAJAK;DPP;TARIF
45407;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45406;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45405;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45404;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45403;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45402;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45401;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45400;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45399;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45398;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45397;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45396;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45395;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45394;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45393;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45392;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45391;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45390;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45389;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45388;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45387;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45386;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45385;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45384;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
