PAJAK_LINE_ID;NAMA_WP;NPWP;ALAMAT_WP;NAMA_PAJAK;INVOICE_NUMBER;NO_FAKTUR_PAJAK;TANGGAL_FAKTUR_PAJAK;NO_BUKTI_POTONG;TGL_BUKTI_POTONG;AKUN_BEBAN;KODE_PAJAK;DPP;TARIF;JUMLAH_POTONG;TANGGAL GL;MATAUANG
1185737;GROWMEDIA;03.276.307.0-093.001;JL.PAPANGGO IIID;PPh Psl 22;029/GM/03/2017;;;;;80108999;KP0 PSL22;37500000;1.5;562500;12-Jun-17;IDR
1185740;LEN INDUSTRI (PERSERO), PT;03.276.307.0-093.001;Jl. Soekarno-Hatta No. 442 Bandung 40254-Indonesia;PPh Psl 22;232C/LEN/KWT/V/2016.;030.031-16.99195227.;26-May-16;;;20723999;KP0 PSL22;410125000;1.5;6151875;19-Jun-17;IDR
