"Line Id";"Kode Lampiran";"Kode Transaksi";"Kode Status";"Kode Dokumen";"NPWP Lawan Transaksi";"Nama Lawan Transaksi";"Kode Cabang";"Digit Tahun";"No Seri FP / No Nota Retur";"Tanggal Faktur";"Masa Pajak";"Tahun Pajak";Pembetulan;"Tanggal Tagih";"Tanggal Setor PPN";"Tanggal Setor PPN BM";"Invoice Number";"Tanggal GL";"Mata Uang";"Jumlah DPP";"Jumlah PPN";"Jumlah PPN BM"
1172399;2;;3;1;;"PT ENCIETY BINAKARYA CEMERLANG";001;17;030.001-17.31118659;06/03/2017;3;2017;0;;;;007.1/EBC/17;28/04/2017;IDR;159955000;15995500;0
1172400;2;;3;1;;"PT ENCIETY BINAKARYA CEMERLANG";001;17;030.001-17.31118659;06/03/2017;3;2017;0;;;;007.1/EBC/17;28/04/2017;IDR;56946050;5694605;0
1172402;2;;3;3;01.070.652.1-058.000;"HASKONING INDONESIA,PT";;;;;;;0;;;;008/FIN-SET/RE/I/2017(PPN);25/04/2017;IDR;66062240;6606224;0
1172401;2;;3;3;01.070.652.1-058.000;"HASKONING INDONESIA,PT";;;;;;;0;;;;008/FIN-SET/RE/I/2017(PPN);25/04/2017;IDR;635982250;63598225;0
1172403;2;;3;5;;"JINGGA SAFFRON ARTISTIKA";001;17;031.001-17.55030806;21/03/2017;3;2017;0;;;;008/XVII/INV-JSA/NFCR;29/04/2017;IDR;62065850;6206585;0
1172404;2;;3;1;;"KEPANITIAAN KALTARA INVESTMENT FORUM 2017";017;17;030.017-17.36953358;18/04/2017;4;2017;0;;;;009/INV/CK-DIR/IV/2017;18/04/2017;IDR;50000000;5000000;0
1172405;2;;3;5;01.723.619.1.305.000;"ROSE FLORIST, CV";009;17;031.009-17.05830502;02/02/2017;2;2017;0;;;;019/KW/RF/I/2017;03/04/2017;IDR;26012800;2601280;0
1172406;2;;3;1;01.723.619.1.305.000;"ROSE FLORIST, CV";009;17;030.009-17.05830519;08/03/2017;3;2017;0;;;;026/KW/RF/III/2017;04/04/2017;IDR;167228700;16722870;0
1172407;2;;3;5;;"NUGRA KENCANA BAKTI, PT";008;17;031.008-17.99930445;04/04/2017;4;2017;0;;;;028/PERB/AC/NKB/2017;29/04/2017;IDR;942609380;94260938;0
1172408;2;;3;1;03.276.307.0-093.000;"PT MOBILKOM TELEKOMINDO";001;17;030.001-17.40944390;06/04/2017;4;2017;0;;;;029/IV/2017;20/04/2017;IDR;161640000;16164000;0
1172409;2;;3;1;;"NUGRA KENCANA BAKTI, PT";008;17;030.008.17.99930447;03/04/2017;4;2017;0;;;;029/SERV/AC/NKB/IV/2017;28/04/2017;IDR;22470000;2247000;0
1172410;2;;3;1;;"PT DHARMAPENA CITRA MEDIA";001;17;030.001-17.44431829;03/04/2017;4;2017;0;;;;035-0417;20/04/2017;IDR;56363640;5636364;0
1172411;2;;3;1;07.912.824.5-416.000;"NANDA FAUZ IWAN, SH, M.Kn NOTARIS";017;17;030.017-17.53648915;03/04/2017;4;2017;0;;;;037/NFI/IV/2017;26/04/2017;IDR;20000000;2000000;0
1172412;2;;3;5;;"ROS PESONA ALAM, PT";001;17;031.001-17.31149377;01/03/2017;3;2017;0;;;;056/KW/RPA/II/2017;03/04/2017;IDR;36425000;3642500;0
1172413;2;;3;1;;"ROS PESONA ALAM, PT";001;17;030.001-17.31149406;02/03/2017;3;2017;0;;;;099/KW/RPA/III/2017;03/04/2017;IDR;31625000;3162500;0
1172415;2;;3;1;01.070.652.1-058.000;"HASKONING INDONESIA,PT";001;17;030.001-17.53992029;07/04/2017;4;2017;0;;;;1002446/8M0028-001;21/04/2017;IDR;74682460;7468246;0
1172414;2;;3;1;01.070.652.1-058.000;"HASKONING INDONESIA,PT";001;17;030.001-17.53992029;07/04/2017;4;2017;0;;;;1002446/8M0028-001;21/04/2017;IDR;313500000;31350000;0
1172416;2;;3;1;;"NUGRA KENCANA BAKTI, PT";008;17;030.008-17.99930426;23/02/2017;2;2017;0;;;;14/AC/NKB/II/2017;03/04/2017;IDR;25860000;2586000;0
1172417;2;;3;1;03.276.307.0-093.000;"CV Wira Utama";009;17;030.009-17.01830190;14/03/2017;3;2017;0;;;;1403-1/KWI/WU-PLD/III/17;03/04/2017;IDR;124000000;12400000;0
1172418;2;;3;1;;"BEPROF MULTI DAYA, PT";017;17;030.017.17.79745287;06/04/2017;4;2017;0;;;;17.03/BI-PEL/BEPROF/IV/17;25/04/2017;IDR;18500000;1850000;0
1172419;2;;3;1;03.276.307.0-093.000;"HERU WIDODO (265115837";001;17;030.001-17.46745329;09/03/2017;3;2017;0;;;;17000023;18/04/2017;IDR;11400000;1140000;0
1172420;2;;3;1;03.276.309.6-093.000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";017;17;030.017.17.42939486;10/04/2017;4;2017;0;;;;1700082;13/04/2017;IDR;60564510;6056451;0
